,0,32.00,32.00,34.88,976.64,,,,,,,,,,,
429,1131,Kaivon kansiston säätö (korkeuden muutos) yksikköhinnalla,Ylitalonkatu,kaivon_kansiston_saato,8,kpl,65,0.00,0.00,0.00,,0,32.00,32.00,34.88,279.04
361,1131,Kaivon kansiston vaihto yksikköhinnalla,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kaivon_kansiston_vaihto,2,kpl,54,150.00,0.00,0.00,,0,64.00,214.00,233.26,466.52
362,1131,Kaivon poisto sis. Purku vastaanotto ja kuopan täyttö betonikaivo,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kaivon_poisto,2,kpl,65,0.00,0.00,0.00,640.00,1280,320.00,960.00,1352.65,2705.3
430,1131,Kaivon poisto sis. purku vastaanotto ja kuopan täyttö betonikaivo,Ylitalonkatu,kaivon_poisto,8,kpl,65,0.00,0.00,0.00,640.00,5120,320.00,960.00,1352.65,10821.2
363,1131,Putken purku sis. kaivu ja täyttö betoniputki käytöstä poistettu HV-viemäri kasvualusta,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,putken_purku,4,mtr,65,0.00,0.00,0.00,320.00,1280,160.00,480.00,676.32,2705.28
364,1135,Liik.merkin poisto sis vakiomerkki pylväs ja jalusta,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liikennemerkin_poisto,9,kpl,65,0.00,0.00,0.00,64.00,576,32.00,96.00,135.26,1217.34
365,1135,Liik.merkin siirto sis vakiomerkki pylväs ja jalusta,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,liikennemerkin_siirto,2,kpl,65,0.00,0.00,0.00,64.00,128,64.00,128.00,170.14,340.28
366,1142,Rakennekerrosten poisto erittelemätön ei sis vastaanottoa,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,rakennekerrosten_poisto,20,m3ktr,65,0.00,0.00,8.00,10.67,213.4,2.13,20.80,27.772,555.44
431,1142,Rakennekerrosten poisto ja kuljetus loppusijoitukseen sis. vastaanottomaksu kantava maa-aines,Ylitalonkatu,rakennekerrosten_poisto,1455,m3ktr,65,0.00,0.00,8.00,10.67,15524.85,2.13,20.80,27.772,40408.26
367,1151,Asfaltin jyrsintä 4 cm kulj. loppusijoitukseen sis vastottomaksu 2000-5000 m2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,asfaltin_jyrsinta,3790,m2tr,61,0.00,3.50,0.00,,0,,3.50,3.815,14458.85
368,1151,Asfaltin poisto kaivamalla h=5 cm määrä <500 m2 loppusijoitus sis vastottomaksu,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,asfaltin_poisto,1230,m2tr,65,0.00,0.00,1.00,2.56,3148.8,,3.56,5.1104,6285.79
432,1151,Asfaltin poisto (kaivamalla) h = 10 cm poistettava määrä < 500 m2 kuljetus loppusijoitukseen sis. vasta,Ylitalonkatu,asfaltin_poisto,2581,m2tr,65,0.00,0.00,1.00,2.56,6607.36,,3.56,5.1104,13189.94
369,1151,Betonikiveyksen poisto kuljetus loppusijoitukseen,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,betonikiveyksen_poisto,1040,m2tr,65,0.00,0.00,2.00,2.13,2215.2,01.07,5.20,6.688,6955.52
433,1151,Betonikiveyksen poisto ja kuljetus loppusijoitukseen,Ylitalonkatu,betonikiveyksen_poisto,1378,m2tr,65,0.00,0.00,2.00,2.13,2935.14,01.07,5.20,6.688,9216.06
370,1159,Reunatuen poisto liimattava reunatuki,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,reunatuen_poisto_liimattava,955,mtr,65,0.00,1.00,5.00,4.27,4077.85,2.13,12.40,15.556,14855.98
434,1159,Reunatuen poisto liimattava reunatuki,Ylitalonkatu,reunatuen_poisto_liimattava,972,mtr,65,0.00,1.00,5.00,4.27,4150.44,2.13,12.40,15.556,15120.43
371,1331.1,Kiviainesarina KaM 0-32,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_32,5,m3rtr,53,0.00,0.00,9.00,10.67,53.35,5.33,25.00,32.35,161.75
384,2131,Sitomaton kantava kerros KaM 0-32,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_32,15,m3rtr,53,0.00,0.00,9.00,10.67,160.05,5.33,25.00,32.35,485.25
437,1831,Asennusalusta putkien tai rakenteiden alusta,Ylitalonkatu,kam0_32,6,m3rtr,53,0.00,0.00,9.00,10.67,64.02,5.33,25.00,32.35,194.1
442,2131,Sitomaton kantava kerros,Ylitalonkatu,kam0_32,566,m3rtr,53,0.00,0.00,9.00,10.67,6039.22,5.33,25.00,32.35,18310.1
443,2131,Sitomaton kantava kerros,Ylitalonkatu,kam0_32,33,m3rtr,53,0.00,0.00,9.00,10.67,352.11,5.33,25.00,32.35,1067.55
372,1431.1,Aluesalaoja kaivu ja täyttö 110/95 mm SNS tuplasalaojaputki,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,aluesalaoja_110,15,mtr,54,2.00,0.00,0.00,,0,5.33,7.33,7.9897,119.85
373,1433,Salaojan tarkastusputki 200/160/110 mm sis kansisto muovi PE,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,salaojan_tarkastusputki_200_110,1,kpl,64,150.00,0.00,0.00,,0,32.00,182.00,198.38,198.38
374,1613,Maaleikkaus kuljetus läjitykseen,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,moreeni,100,m3ktr,65,0.00,0.00,10.00,16.00,1600,3.20,29.20,39.488,3948.8
375,1621,Kaapelikaivanto ja täyttö ei sis kaapelia tai suojaputkea mtr,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,moreeni,455,mtr,65,0.00,0.00,10.00,16.00,7280,3.20,29.20,39.488,17967.04
435,1613,Maaleikkaus kuljetus läjitykseen,Ylitalonkatu,moreeni,162,m3ktr,65,0.00,0.00,10.00,16.00,2592,3.20,29.20,39.488,6397.06
376,1621,Putkikaivanto tuettu kulj loppusijoitukseen sis vastottomaksu kantava aines,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,savi,25,m3ktr,65,0.00,0.00,9.00,12.80,320,2.13,23.93,32.2037,805.09
377,1623.1,Istutuskaivanto kuljetus loppusijoitukseen sis vastottomaksu savi,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,savi,33,m3ktr,65,0.00,0.00,9.00,12.80,422.4,2.13,23.93,32.2137,1063.05
436,1621,Putkikaivanto kuljetus läjitykseen/välivarastoon,Ylitalonkatu,savi,53,m3ktr,65,0.00,0.00,9.00,12.80,678.4,2.13,23.93,32.2137,1707.33
378,1831,Asennusalusta putkien tai rakenteiden alusta KaM 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,3,m3rtr,53,0.00,0.00,9.00,10.67,32.01,5.33,25.00,32.35,97.05
379,1832,Alkutäyttö putki- rumpu- ja johtokaivannon täyttö KaM 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,5,m3rtr,53,0.00,0.00,9.00,10.67,53.35,5.33,25.00,32.35,161.75
380,1833,Lopputäyttö putki- rumpu- ja johtokaivannon täyttö sora 0-16,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_16,15,m3rtr,53,0.00,0.00,9.00,10.67,160.05,5.33,25.00,32.35,485.25
438,1832,Alkutäyttö putki- rumpu- ja johtokaivannon täyttörakenne,Ylitalonkatu,kam0_16,27,m3rtr,53,0.00,0.00,9.00,10.67,288.09,5.33,25.00,32.35,873.45
449,2145.3,Murskepäällyste m2tr paksuus 100 mm (liikunta- ja virkistyspaikat; raitit),Ylitalonkatu,kam0_16,7,m2tr,53,0.00,0.00,9.00,10.67,74.69,5.33,25.00,32.35,226.45
381,2112,Suodatinkangas N3 kiviainesarina,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,SuodatinkangasN3,240,m2tr,51,1.00,0.00,0.00,,0,0.32,1.32,1.4388,345.31
382,2112,Suodatinkangas N3 kantava kasvualusta,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,SuodatinkangasN3,70,m2tr,51,1.00,0.00,0.00,,0,0.32,1.32,1.4388,100.72
383,2121,Jakava kerros KaM 0-63,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,kam0_63,75,m3rtr,53,0.00,0.00,9.00,10.67,800.25,5.33,25.00,32.35,2426.25
441,2121,Jakava kerros,Ylitalonkatu,kam0_63,1013,m3rtr,53,0.00,0.00,9.00,10.67,10808.71,5.33,25.00,32.35,32770.55
385,2141.1,Asfalttibetonirakenne liimaus alue 1000-15000 m2,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ab_liimaus,3840,m2tr,61,0.00,0.35,0.00,,0,,0.35,0.3815,1464.96
387,2141.11,Kulutuskerroksen asfalttibetoni AB 11 40 mm (n. 100 kg/m2) < 1000 m2 liikennöity alue,Inspehtorinkatu Civiksenpolku (osin) ja Kuikkulankatu,ab11_40mm,183,m2tr,61,0.00,12.55,0.00,,0,,12.55,13.6795,2503.35
