Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
837,1131,Vesijohdon ja toimilaitteiden purku putkilinjaltavesijohdot sis. kuljetuksen ja jätteenkäsittelymaksun,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,vj_purku,295,mtr,64,0.00,0.00,2.00,1.50,442.5,01.07,4.57,5.5313,1631.73
865,1131,Vesijohdon ja toimilaitteiden purku putkilinjaltavesijohdot sis. kuljetuksen ja jätteenkäsittelymaksun,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,vj_purku,225,mtr,64,0.00,0.00,2.00,1.50,337.5,01.07,4.57,5.5313,1244.54
899,1131,Vesijohdon ja toimilaitteiden purku putkilinjaltavesijohdot sis. kuljetuksen ja jätteenkäsittelymaksun,Juolukkatie D 6753 007,vj_purku,145,mtr,64,0.00,0.00,2.00,1.50,217.5,01.07,4.57,5.5313,802.04
930,1131,Vesijohdon ja toimilaitteiden purku putkilinjaltavesijohdot sis. kuljetuksen ja jätteenkäsittelymaksun,Luumutie D 3267 002,vj_purku,155,mtr,64,0.00,0.00,2.00,1.50,232.5,01.07,4.57,5.5313,857.35
838,1131,Jäteviemärin ja kaivojen purku putkilinjalta sis. kuljetuksen ja jätteenkäsittelymaksun,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,jv_purku,283,mtr,64,0.00,2.00,2.00,4.00,1132,3.20,11.20,13.668,3868.04
866,1131,Jäteviemärin ja kaivojen purku putkilinjalta sis.kuljetuksen ja jätteenkäsittelymaksun,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,jv_purku,180,mtr,64,0.00,2.00,2.00,4.00,720,3.20,11.20,13.668,2460.24
900,1131,Jäteviemärin ja kaivojen purku putkilinjalta sis.kuljetuksen ja jätteenkäsittelymaksun,Juolukkatie D 6753 007,jv_purku,95,mtr,64,0.00,2.00,2.00,4.00,380,3.20,11.20,13.668,1298.46
932,1131,Jäteviemärin ja kaivojen purku putkilinjalta sis. kuljetuksen ja jätteenkäsittelymaksun,Luumutie D 3267 002,jv_purku,167,mtr,64,0.00,2.00,2.00,4.00,668,3.20,11.20,13.668,2282.56
839,1131,Palopostin / palopostiaseman poisto,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,palopostin_poisto,2,kpl,65,0.00,0.00,0.00,120.00,240,64.00,184.00,244.31,488.62
901,1131,Palopostin / palopostiaseman poisto,Juolukkatie D 6753 007,palopostin_poisto,1,kpl,65,0.00,0.00,0.00,120.00,120,64.00,184.00,244.31,244.31
931,1131,Palopostin / palovesiaseman poisto,Luumutie D 3267 002,palopostin_poisto,1,kpl,65,0.00,0.00,0.00,120.00,120,64.00,184.00,244.31,244.31
840,1132,Kaapeleiden suojaus,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kaapeleiden_suojaus,18,mtr,65,0.00,0.00,0.00,,0,6.40,6.40,6.976,125.57
841,13311,Murskearina sis. suodatinkangas N3,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kam0_32,124,m3rtr,53,12.37,0.00,8.00,10.00,1240,4.00,34.37,41.1133,5098.05
849,2131,Sitomaton kantava kerros KaM 0-32,Vaapukkatie Mustikkatie-Lemmikäisentie D 6630 008,kam0_32,290,m3rtr,53,12.37,0.00,8.00,10.00,2900,4.00,34.37,41.1133,11922.86
870,13311,Murskearina sis. suodatinkangas N3,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kam0_32,91,m3rtr,53,12.37,0.00,8.00,10.00,910,4.00,34.37,41.1133,3741.31
878,2131,Sitomaton kantava kerros KaM 0-32,Vaapukkatie Lehmustie-Mustikkatie D 6630 007,kam0_32,180,m3rtr,53,12.37,0.00,8.00,10.00,1800,4.00,34.37,41.1133,7400.39
904,13311,Murskearina sis. suodatinkangas N3,Juolukkatie D 6753 007,kam0_32,54,m3rtr,53,12.37,0.00,8.00,10.00,540,4.00,34.37,41.1133,2220.12
