Id,Littera,Rakennusosa,Paikka,Materiaali,Määrä,Yksikkö,KL,€/yks. mat.,€/yks. alih.,€/yks. kulj.,€/yks. konetyö,€yhteensa konetyö,€/yks. miestyö,€/yks,€/yks sis.kate,€yht
504,3111.10,TrenchRun : 6.0-6.1 tonttihaara (14 items) Quantity Total length : 79.983m,6.0-6.1 tonttihaara Ylätie,jv110,80,m,54,5.00,0.00,0.00,,0,8.25,13.25,14.1775,1134.2
505,3111.10,TrenchRun : 6.2-6.21 tonttihaara (2 items) Quantity Total length : 12.573m,6.2-6.21 tonttihaara Raimelantie,jv110,13,m,54,5.00,0.00,0.00,,0,8.25,13.25,14.1775,184.31
509,3111.20,TrenchRun : 6.2-6.21 (2 items) Quantity Total length : 92.593m,6.2-6.21 Raimelantie,jv160,93,m,54,8.50,0.00,0.00,,0,8.25,16.75,17.9225,1666.79
511,3111.30,TrenchRun : 3.0-3.1 (8 items) Quantity Total length : 271.344m,3.0-3.1 Nikkarintie,jv200,271,m,54,12.00,0.00,0.00,,0,8.25,20.25,21.6675,5871.89
512,3111.30,TrenchRun : 6.0-6.1 (7 items) Quantity Total length : 241.235m,6.0-6.1 Ylätie,jv200,241,m,54,12.00,0.00,0.00,,0,8.25,20.25,21.6675,5221.87
516,3131.20,TrenchRun : 3.0-3.1 tonttihaara (9 items) Quantity Total length : 56.769m,3.0-3.1 tonttihaara Nikkarintie,vj40,57,m,54,1.50,0.00,0.00,,0,4.13,5.63,6.0241,343.37
517,3131.20,TrenchRun : 6.0-6.1 tonttihaara (14 items) Quantity Total length : 86.163m,6.0-6.1 tonttihaara Ylätie,vj40,86,m,54,1.50,0.00,0.00,,0,4.13,5.63,6.0241,518.07
518,3131.20,TrenchRun : 6.2-6.21 tonttihaara (2 items) Quantity Total length : 12.727m,6.2-6.21 tonttihaara Raimelantie,vj40,13,m,54,1.50,0.00,0.00,,0,4.13,5.63,6.0241,78.31
521,3131.50,TrenchRun : 3.0-3.1 (8 items) Quantity Total length : 274.087m,3.0-3.1 Nikkarintie,vj110,274,m,54,8.50,0.00,0.00,04.07,1115.18,5.50,18.07,20.6449,5656.7
522,3131.50,TrenchRun : 6.0-6.1 (7 items) Quantity Total length : 241.653m,6.0-6.1 Ylätie,vj110,242,m,54,8.50,0.00,0.00,04.07,984.94,5.50,18.07,20.6449,4996.07
523,3131.50,TrenchRun : 6.2-6.21 (2 items) Quantity Total length : 92.620m,6.2-6.21 Raimelantie,vj110,93,m,54,8.50,0.00,0.00,04.07,378.51,5.50,18.07,20.6449,1919.98
530,3113.1,jvtk,6.0-6.1 Ylätie,jvtk400,4,kpl,54,225.00,0.00,0.00,61.00,244,66.00,352.00,396.33,1585.32
531,3113.1,jvtk,3.0-3.1 Nikkarintie,jvtk400,5,kpl,54,225.00,0.00,0.00,61.00,305,66.00,352.00,396.33,1981.65
532,3113.1,jvtk,6.2-6.21 Raimelantie,jvtk400,2,kpl,54,225.00,0.00,0.00,61.00,122,66.00,352.00,396.33,792.66
535,3113.1,jvtk,6.0-6.1 Ylätie,jvtk560,4,kpl,54,300.00,0.00,0.00,61.00,244,,361.00,405.96,1623.84
536,3113.1,jvtk,3.0-3.1 Nikkarintie,jvtk560,3,kpl,54,300.00,0.00,0.00,61.00,183,,361.00,405.96,1217.88
539,3113.1,jvtk,3.0-3.1 Nikkarintie,jvtk800,2,kpl,54,380.00,0.00,0.00,61.00,122,82.50,523.50,579.835,1159.67
544,1711.10,Kanaalikaivu,3.0-3.1 Nikkarintie,kallio,3,m3,63,0.00,25.00,6.00,8.71,26.13,2.20,41.91,47.6537,142.96
549,1711.10,Kanaalikaivu,6.0-6.1 Ylätie,kallio,160,m3,63,0.00,25.00,6.00,8.71,1393.6,2.20,41.91,47.6537,7624.59
551,1711.10,Kanaalikaivu,6.0-6.1 tonttihaara Ylätie,kallio,3,m3,63,0.00,25.00,6.00,8.71,26.13,2.20,41.91,47.6537,142.96
553,1711.10,Kanaalikaivu,6.0-6.1 tonttihaara Ylätie,kallio,1,m3,63,0.00,25.00,6.00,8.71,8.71,2.20,41.91,47.6537,47.65
555,1711.10,Kanaalikaivu,6.2-6.21 Raimelantie,kallio,244,m3,63,0.00,25.00,6.00,8.71,2125.24,2.20,41.91,47.6537,11627.5
557,1711.10,Kanaalikaivu,6.2-6.21 tonttihaara Raimelantie,kallio,16,m3,63,0.00,25.00,6.00,8.71,139.36,2.20,41.91,47.6537,762.46
545,1621.10,Kanaalikaivu,3.0-3.1 Nikkarintie,savi,1033,m3,65,0.00,4.20,4.00,8.71,8997.43,2.20,19.11,23.2577,24025.2
547,1621.10,Kanaalikaivu,3.0-3.1 tonttihaara Nikkarintie,savi,190,m3,65,0.00,4.20,4.00,8.71,1654.9,2.20,19.11,23.2577,4418.96
548,1621.10,Kanaalikaivu,3.0-3.1 tonttihaara Nikkarintie,savi,25,m3,65,0.00,4.20,4.00,8.71,217.75,2.20,19.11,23.2577,581.44
550,1621.10,Kanaalikaivu,6.0-6.1 Ylätie,savi,781,m3,65,0.00,4.20,4.00,8.71,6802.51,2.20,19.11,23.2577,18164.26
552,1621.10,Kanaalikaivu,6.0-6.1 tonttihaara Ylätie,savi,132,m3,65,0.00,4.20,4.00,8.71,1149.72,2.20,19.11,23.2577,3070.02
554,1621.10,Kanaalikaivu,6.0-6.1 tonttihaara Ylätie,savi,50,m3,65,0.00,4.20,4.00,8.71,435.5,2.20,19.11,23.2577,1162.88
556,1621.10,Kanaalikaivu,6.2-6.21 Raimelantie,savi,228,m3,65,0.00,4.20,4.00,8.71,1985.88,2.20,19.11,23.2577,5302.76
558,1621.10,Kanaalikaivu,6.2-6.21 tonttihaara Raimelantie,savi,23,m3,65,0.00,4.20,4.00,8.71,200.33,2.20,19.11,23.2577,534.93
571,1831.80,kiviainesarina,3.0-3.1 Nikkarintie,kam0_32,0,m3,53,13.23,0.00,4.00,8.71,0,3.30,29.24,,
572,1831.80,kiviainesarina,3.0-3.1 Nikkarintie,kam0_32,103,m3,53,13.23,0.00,4.00,8.71,897.13,3.30,29.24,34.0968,3511.97
573,1831.80,kiviainesarina,3.0-3.1 Nikkarintie,kam0_32,3,m3,53,13.23,0.00,4.00,8.71,26.13,3.30,29.24,34.0968,102.29
574,1831.80,kiviainesarina,3.0-3.1 tonttihaara,kam0_32,19,m3,53,13.23,0.00,4.00,8.71,165.49,3.30,29.24,34.0968,647.84
575,1831.80,kiviainesarina,3.0-3.1 tonttihaara,kam0_32,3,m3,53,13.23,0.00,4.00,8.71,26.13,3.30,29.24,34.0968,102.29
576,1831.80,kiviainesarina,6.0-6.1 Ylätie,kam0_32,8,m3,53,13.23,0.00,4.00,8.71,69.68,3.30,29.24,34.0968,272.77
577,1831.80,kiviainesarina,6.0-6.1 Ylätie,kam0_32,78,m3,53,13.23,0.00,4.00,8.71,679.38,3.30,29.24,34.0968,2659.55
578,1831.80,kiviainesarina,6.0-6.1 tonttihaara Ylätie,kam0_32,0,m3,53,13.23,0.00,4.00,8.71,0,3.30,29.24,,
579,1831.80,kiviainesarina,6.0-6.1 tonttihaara Ylätie,kam0_32,13,m3,53,13.23,0.00,4.00,8.71,113.23,3.30,29.24,34.0968,443.26
